Accession,STD Annot.,Lab Annot.,Curated Loc.,TAIR Loc.
AT5G19940.2,Plastid-lipid associated protein PAP / fibrillin family protein; FUNCTIONS IN: structural molecule activity; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast envelope; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Plastid lipid-associated protein/fibrillin (InterPro:IPR006843); Has 21 Blast hits to 21 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 19; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,fibrillin 6 (FBN6),thylakoid-peripheral-stromal-side,
AT5G20140.1,SOUL heme-binding family protein ,SOUL heme-binding (HBP5),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT5G20140.2,SOUL heme-binding family protein ,SOUL heme-binding (HBP5),thylakoid,
AT5G20250.1,"encodes a member of glycosyl hydrolase family 36. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell.",alkaline alpha galactosidase (only model.4 has cTP),stroma,
AT5G20250.2,"encodes a member of glycosyl hydrolase family 36. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell.",alkaline alpha galactosidase (only model.4 has cTP),stroma,
AT5G20250.3,"encodes a member of glycosyl hydrolase family 36. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell.",alkaline alpha galactosidase (only model.4 has cTP),stroma,
AT5G20250.4,Raffinose synthase family protein ,alkaline alpha galactosidase (only model.4 has cTP),stroma,
AT5G20720.1,"Encodes a chloroplast co-chaperonin with similarity to CPN21 from spinach, E.coli GroES.",Cpn21 (also Cpn20),plastid stroma,chloroplast
AT5G20720.2,"Encodes a chloroplast co-chaperonin with similarity to CPN21 from spinach, E.coli GroES.",Cpn21 (also Cpn20),plastid stroma,chloroplast
AT5G20720.3,chaperonin 20 ,Cpn21 (also Cpn20),plastid stroma,
AT5G20935.1,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3148 (InterPro:IPR021495); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,CRR42 - NDH assembly factor,plastid stroma,
AT5G20980.1,"encodes a plastidic methionine synthase, involved in methionine de novo synthesis in the chloroplast",5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase (MS3),plastid stroma,chloroplast
AT5G20980.2,methionine synthase 3 ,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase (MS3),plastid stroma,
AT5G21222.1,protein kinase family protein ,Tyrosine Kinase with PPR,plastid nucleoid,
AT5G21430.1,Chaperone DnaJ-domain superfamily protein ,NDH subunit CRRl (DnaJ domain protein) - NdhU,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT5G21430.2,"Chaperone DnaJ-domain superfamily protein; FUNCTIONS IN: heat shock protein binding; LOCATED IN: chloroplast thylakoid membrane, chloroplast; CONTAINS InterPro DOMAIN/s: Heat shock protein DnaJ, N-terminal (InterPro:IPR001623); Has 33 Blast hits to 33 proteins in 14 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).",NDH subunit CRRl (DnaJ domain protein) - NdhU,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT5G21990.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,OEP61 - tetratricopeptide repeat (TPR) protein ,envelope-outer,
AT5G22510.1,alkaline/neutral invertase ,"alkaline/neutral invertase - Amylo-alpha-1,6-glucosidase",plastid stroma,
AT5G22620.1,encodes a putative 2-carboxy-D-arabinitol 1-phosphate phosphatase,phosphoglycerate/bisphosphoglycerate mutase family protein ,plastid stroma,
AT5G22620.2,phosphoglycerate/bisphosphoglycerate mutase family protein ,phosphoglycerate/bisphosphoglycerate mutase family protein ,plastid stroma,
AT5G22620.3,phosphoglycerate/bisphosphoglycerate mutase family protein ,phosphoglycerate/bisphosphoglycerate mutase family protein ,plastid stroma,
AT5G22630.1,Encodes a plastid-localized arogenate dehydratase involved in phenylalanine biosynthesis.  Not less than six genes encoding ADT were identi&#64257;ed in the Arabidopsis genome: ADT1 [At1g11790]; ADT2 [At3g07630]; ADT3 [At2g27820]; ADT4 [At3g44720]; ADT5 [At5g22630]; and ADT6 [At1g08250].,arogenate dehydratase/ prephenate dehydratase (ADT5),plastid stroma,
AT5G22640.1,MORN (Membrane Occupation and Recognition Nexus) repeat-containing protein ,Tic100 (part of 1 Mda TIC complex),envelope,thylakoid membrane (sensu Viridiplantae)
AT5G22640.2,EMB1211 is a MORN (multiple membrane  occupation and recognition nexus) motif containing protein involved in embryo development and chloroplast biogenesis.,Tic100 (part of 1 Mda TIC complex),envelope,
AT5G22800.1,"Alanyl-tRNA synthetase, class IIc ",Ala-tRNA synthetases (Ala-RS2) (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT5G22830.1,magnesium (Mg) transporter 10 ,magnesium transporter protein (GMN10;MGT10;MRS2-11),envelope-inner-integral,
AT5G23040.1,Protein of unknown function (DUF3353) ,CDF1 (CELL GROWTH DEFECT FACTOR 1) - import of PORA also mitochondria,mitochondria; envelope,mitochondrion
AT5G23060.1,calcium sensing receptor ,Ca2+ sensing receptor - phosphoprotein - dually targeted in mitochondria & plastid,thylakoid-integral; mitochondria,thylakoid membrane (sensu Viridiplantae) & mitochondrion
AT5G23120.1,"photosystem II stability/assembly factor, chloroplast (HCF136) ",HCF136 Tat ltp,thylakoid-peripheral-lumenal-side,thylakoid membrane (sensu Viridiplantae) & thylakoid lumen (sensu Viridiplantae) & chloroplast stromal thylakoid
AT5G23310.1,Fe superoxide dismutase 3 ,iron superoxide dismutase (FSD3),plastid,chloroplast
AT5G23440.1,"ferredoxin/thioredoxin reductase subunit A (variable subunit) 1 (FTRA1); FUNCTIONS IN: ferredoxin:thioredoxin reductase activity, catalytic activity, ferredoxin reductase activity; INVOLVED IN: photosynthesis, light reaction, photosynthesis; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ferredoxin thioredoxin reductase, alpha chain (InterPro:IPR004207), Electron transport accessory protein (InterPro:IPR008990); BEST Arabidopsis thaliana protein match is: ferredoxin/thioredoxin reductase subunit A (variable subunit) 2 (TAIR:AT5G08410.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",ferredoxin-thioredoxin reductase -variable subunit (subunit A) (FTRv2),plastid stroma,
AT5G23890.1,"LOCATED IN: mitochondrion, chloroplast thylakoid membrane, chloroplast, plastid, chloroplast envelope; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: S-layer homology domain (InterPro:IPR001119); BE",envelope protein MEP2 - inner envelope transporter,envelope-inner-integral,thylakoid membrane (sensu Viridiplantae) & chloroplast envelope
AT5G24020.1,septum site-determining protein (MIND) ,MinD (ARC11 or MIND1),plastid stroma; envelope-inner,chloroplast
AT5G24300.1,SSI is a plastidial enzyme and crucial for the synthesis of normal amylopectin in the leaves of Arabidopsis. The absence of SSI results in a deficiency in the number of shorter glucans which in turn affect the formation and connection of the amylopectin clusters in starch.,starch synthase 1 (SS1),plastid stroma,chloroplast
AT5G24300.2,"Glycogen/starch synthases, ADP-glucose type ",starch synthase 1 (SS1),plastid stroma,
AT5G24314.1,plastid transcriptionally active7 ,unknown protein (TAC7),plastid nucleoid,plastid chromosome
AT5G24400.1,NagB/RpiA/CoA transferase-like superfamily protein ,6-phosphogluconolactonase 3 (PGL3),plastid stroma,
AT5G24490.1,"30S ribosomal protein, putative ",PSRP-1 associates with 30S (translation factor? Interact with RRF?),plastid ribosome,
AT5G24650.1,Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein ,HP30-2 or TRIC-2 (PRAT family) - tRNA import in mitoch.,mitochondria; envelope-inner-integral,
AT5G24690.1,Protein of unknown function (DUF3411) ,unknown protein,envelope,chloroplast inner membrane
AT5G24850.1,cryptochrome 3 ,DNA photolyase,plastid nucleoid,
AT5G26570.1,"catalytics;carbohydrate kinases;phosphoglucan, water dikinases ",phosphoglucan water dikinase 3 (GDW3 or PWD),plastid stroma,chloroplast & plastid
AT5G26570.2,"chloroplastidic phosphoglucan, water dikinase (PWD) which is required for normal degradation of leaf starch in Arabidopsis. NMR analysis of the mutants, suggests that the gene is specifically involved in the phosphorylation of the glucosyl residues of starch at the C3 position.",phosphoglucan water dikinase 3 (GDW3 or PWD),plastid stroma,
AT5G26742.1,"embryo defective 1138 (emb1138); FUNCTIONS IN: in 6 functions; INVOLVED IN: embryo development ending in seed dormancy; LOCATED IN: chloroplast, chloroplast stroma, membrane; EXPRESSED IN: guard cell, leaf; CONTAINS InterPro DOMAIN/s: RNA helicase, DEAD-box type, Q motif (InterPro:IPR014014), DNA/RNA helicase, DEAD/DEAH box type, N-terminal (InterPro:IPR011545), GUCT (InterPro:IPR012562), DEAD-like helicase, N-terminal (InterPro:IPR014001), DNA/RNA helicase, C-terminal (InterPro:IPR001650), Zinc finger, CCHC-type (InterPro:IPR001878), Helicase, superfamily 1/2, ATP-binding domain (InterPro:IPR014021); BEST Arabidopsis thaliana protein match is: putative mitochondrial RNA helicase 2 (TAIR:AT3G22330.1); Has 62677 Blast hits to 60420 proteins in 3357 species: Archae - 1370; Bacteria - 33239; Metazoa - 8033; Fungi - 5520; Plants - 3292; Viruses - 108; Other Eukaryotes - 11115 (source: NCBI BLink).",DEAD box RNA helicase (RH3) (EMB1138; globular stage),plastid nucleoid,
AT5G26742.2,DEAD box RNA helicase (RH3) ,DEAD box RNA helicase (RH3) (EMB1138; globular stage),plastid nucleoid,
AT5G26742.3,"embryo defective 1138 (emb1138); FUNCTIONS IN: in 6 functions; INVOLVED IN: embryo development ending in seed dormancy; EXPRESSED IN: guard cell; CONTAINS InterPro DOMAIN/s: DNA/RNA helicase, DEAD/DEAH box type, N-terminal (InterPro:IPR011545), GUCT (InterPro:IPR012562), DEAD-like helicase, N-terminal (InterPro:IPR014001), DNA/RNA helicase, C-terminal (InterPro:IPR001650), Zinc finger, CCHC-type (InterPro:IPR001878), Helicase, superfamily 1/2, ATP-binding domain (InterPro:IPR014021); BEST Arabidopsis thaliana protein match is: putative mitochondrial RNA helicase 2 (TAIR:AT3G22330.1).",DEAD box RNA helicase (RH3) (EMB1138; globular stage),plastid nucleoid,
AT5G27270.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,Pentatricopeptide repeat (PPR) protein (EMB976),plastid,
AT5G27290.1,unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G54680.3); Has 30201 Blast hits to 17322 proteins in 780 species: Ar,homolog of VIRESCENT3 (AT1G56180)*,plastid,
AT5G27290.2,unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G54680.3); Has 199 Blast hits to 194 proteins in 57 species: Archae ,homolog of VIRESCENT3 (AT1G56180)*,plastid,
AT5G27380.1,glutathione synthetase 2 ,glutathione synthetase (GSH2) - dual location cytosol and plastid,stroma; cytosol,cytosol & chloroplast
AT5G27390.1,Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein ,unknown PsbP domain protein,plastid,
AT5G27560.1,Domain of unknown function (DUF1995) ,unknown protein,plastid,
AT5G28500.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G04550.1); Has 109 Blast hits to 109 proteins in 49 species: Archae - 0; Bacteria - 67; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",RAF2 - Rubisco assembly factor 2,plastid stroma,
AT5G28500.2,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G04550.1).,RAF2 - Rubisco assembly factor 2,plastid stroma,
AT5G28750.1,Bacterial sec-independent translocation protein mttA/Hcf106 ,Tha4 TatA/E,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
AT5G30510.1,ribosomal protein S1 ,30S ribosomal protein S1,plastid ribosome,
AT5G33320.1,Glucose-6-phosphate/phosphate translocator-related ,PPT - IEP33 = Phosphate/phosphoenolpyruvate translocator,envelope-inner-integral,plastid inner membrane
AT5G35100.1,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein ,peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein,plastid,
AT5G35100.2,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein ,peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein,plastid,
AT5G35170.1,adenylate kinase family protein ,adenylate kinase,plastid,thylakoid membrane (sensu Viridiplantae)
AT5G35170.2,adenylate kinase family protein ,adenylate kinase,plastid,thylakoid membrane (sensu Viridiplantae)
AT5G35210.1,"Encodes a chloroplast envelope-bound plant homeodomain (PHD) transcription factor with transmembrane domains that functions in multiple retrograde signal pathways. The proteolytic cleavage of PTM occurs in response to retrograde signals and amino-terminal PTM accumulates in the nucleus, where it activates ABI4 transcription in a PHD-dependent manner associated with histone modifications.",PHD finger transcription factor - dual loca. nucleus & envelope,nucleus; envelope-outer,
AT5G35220.1,Peptidase M50 family protein ,"EGY1, metalloprotease",thylakoid-integral,chloroplast
AT5G35360.1,acetyl Co-enzyme a carboxylase biotin carboxylase subunit ,biotin carboxylase (BC) - part of ACCase complex,envelope-inner-peripheral-stromal-side,
AT5G35360.2,Encodes biotin carboxylase subunit (CAC2).,biotin carboxylase (BC) - part of ACCase complex,envelope-inner-peripheral-stromal-side,
AT5G35360.3,Encodes biotin carboxylase subunit (CAC2).,biotin carboxylase (BC) - part of ACCase complex,envelope-inner-peripheral-stromal-side,
AT5G35630.1,chloroplastic glutamine synthetase,"glutamate-ammonia ligase (GS2), chloroplast",plastid stroma,thylakoid membrane (sensu Viridiplantae) & mitochondrion & chloroplast
AT5G35630.2,chloroplastic glutamine synthetase,"glutamate-ammonia ligase (GS2), chloroplast",plastid stroma,thylakoid membrane (sensu Viridiplantae) & mitochondrion & chloroplast
AT5G35630.3,glutamine synthetase 2 ,"glutamate-ammonia ligase (GS2), chloroplast",plastid stroma,
AT5G35790.1,glucose-6-phosphate dehydrogenase 1 ,glucose-6-phosphate 1-dehydrogenase 1 (G6PD-1),plastid stroma,
AT5G35970.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,Deadbox DNA helicase-related,plastid stroma,
AT5G36120.1,"cofactor assembly, complex C (B6F) ",CCB3 Protein ; cytochrome b6 heme biogenesis,thylakoid-integral,
AT5G36170.1,Required for normal processing of polycistronic plastidial transcripts,"peptide chain release factor, AtPRFB - HCF109",plastid,chloroplast
AT5G36170.2,high chlorophyll fluorescent 109 ,"peptide chain release factor, AtPRFB - HCF109",plastid,chloroplast
AT5G36170.3,Required for normal processing of polycistronic plastidial transcripts,"peptide chain release factor, AtPRFB - HCF109",plastid,chloroplast
AT5G36700.1,"2-phosphoglycolate phosphatase 1 (PGLP1); FUNCTIONS IN: phosphoglycolate phosphatase activity; INVOLVED IN: metabolic process; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 7 plant structures; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIA (InterPro:IPR006357), 2-phosphoglycolate phosphatase, eukaryotic (InterPro:IPR006349); BEST Arabidopsis thaliana protein match is: Haloacid dehalogenase-like hydrolase (HAD) superfamily protein (TAIR:AT5G36790.3); Has 4544 Blast hits to 4541 proteins in 1432 species: Archae - 113; Bacteria - 2784; Metazoa - 605; Fungi - 179; Plants - 108; Viruses - 0; Other Eukaryotes - 755 (source: NCBI BLink).",2-phosphoglycolate phosphatase-1 (PGP-1),plastid stroma,
AT5G36700.2,"2-phosphoglycolate phosphatase 1 (PGLP1); FUNCTIONS IN: phosphoglycolate phosphatase activity; INVOLVED IN: metabolic process; LOCATED IN: chloroplast; EXPRESSED IN: 7 plant structures; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIA (InterPro:IPR006357), 2-phosphoglycolate phosphatase, eukaryotic (InterPro:IPR006349); BEST Arabidopsis thaliana protein match is: Haloacid dehalogenase-like hydrolase (HAD) superfamily protein (TAIR:AT5G36790.3); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",2-phosphoglycolate phosphatase-1 (PGP-1),plastid stroma,
AT5G36700.3,"2-phosphoglycolate phosphatase 1 (PGLP1); FUNCTIONS IN: phosphoglycolate phosphatase activity; INVOLVED IN: metabolic process; LOCATED IN: chloroplast; EXPRESSED IN: 7 plant structures; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIA (InterPro:IPR006357), 2-phosphoglycolate phosphatase, eukaryotic (InterPro:IPR006349); BEST Arabidopsis thaliana protein match is: Haloacid dehalogenase-like hydrolase (HAD) superfamily protein (TAIR:AT5G36790.3); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",2-phosphoglycolate phosphatase-1 (PGP-1),plastid stroma,
AT5G36700.4,2-phosphoglycolate phosphatase 1 ,2-phosphoglycolate phosphatase-1 (PGP-1),plastid stroma,
AT5G36790.1,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein; FUNCTIONS IN: hydrolase activity, phosphatase activity, phosphoglycolate phosphatase activity; INVOLVED IN: metabolic process; LOCATED IN: apoplast, nucleus, chloroplast stroma, vacuole, cytoplasm; EXPRESSED IN: fruit, guard cell, leaf; EXPRESSED DURING: seedling growth; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIA (InterPro:IPR006357), 2-phosphoglycolate phosphatase, eukaryotic (InterPro:IPR006349); BEST Arabidopsis thaliana protein match is: 2-phosphoglycolate phosphatase 1 (TAIR:AT5G36700.4); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",2-phosphoglycolate phosphatase-2 (PGP-2),plastid stroma,nucleus & cytoplasm
AT5G36790.2,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein; FUNCTIONS IN: hydrolase activity, phosphatase activity, phosphoglycolate phosphatase activity; INVOLVED IN: metabolic process; LOCATED IN: apoplast, nucleus, cytoplasm; EXPRESSED IN: guard cell, leaf; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIA (InterPro:IPR006357), 2-phosphoglycolate phosphatase, eukaryotic (InterPro:IPR006349); BEST Arabidopsis thaliana protein match is: 2-phosphoglycolate phosphatase 1 (TAIR:AT5G36700.4); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",2-phosphoglycolate phosphatase-2 (PGP-2),plastid stroma,
AT5G36790.3,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein; FUNCTIONS IN: hydrolase activity, phosphatase activity, phosphoglycolate phosphatase activity; INVOLVED IN: metabolic process; LOCATED IN: nucleus, cytoplasm; EXPRESSED IN: guard cell; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIA (InterPro:IPR006357), 2-phosphoglycolate phosphatase, eukaryotic (InterPro:IPR006349); BEST Arabidopsis thaliana protein match is: 2-phosphoglycolate phosphatase 1 (TAIR:AT5G36700.4).",2-phosphoglycolate phosphatase-2 (PGP-2),plastid stroma,
AT5G36880.1,acetyl-CoA synthetase ,acetyl-CoA synthetase (acetate-CoA ligase),plastid stroma,
AT5G36880.2,acetyl-CoA synthetase ,acetyl-CoA synthetase (acetate-CoA ligase),plastid stroma,
AT5G37360.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to",unknown protein,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT5G38290.1,"Peptidyl-tRNA hydrolase family protein; FUNCTIONS IN: aminoacyl-tRNA hydrolase activity; INVOLVED IN: translation; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidyl-tRNA hydrolase, conserved site (InterPro:IPR018171), Peptidyl-tRNA hydrolase (InterPro:IPR001328); BEST Arabidopsis thaliana protein match is: Peptidyl-tRNA hydrolase family protein (TAIR:AT5G16140.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",peptidyl-tRNA hydrolase ,stroma,
AT5G38290.2,"Peptidyl-tRNA hydrolase family protein; FUNCTIONS IN: aminoacyl-tRNA hydrolase activity; INVOLVED IN: translation; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidyl-tRNA hydrolase, conserved site (InterPro:IPR018171), Peptidyl-tRNA hydrolase (InterPro:IPR001328); BEST Arabidopsis thaliana protein match is: Peptidyl-tRNA hydrolase family protein (TAIR:AT5G16140.2); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",peptidyl-tRNA hydrolase ,stroma,
AT5G38410.1,Ribulose bisphosphate carboxylase (small chain) family protein ,Rubisco small subunit 3b (RBCS-3B),plastid stroma,
AT5G38410.2,Ribulose bisphosphate carboxylase (small chain) family protein ,Rubisco small subunit 3b (RBCS-3B),plastid stroma,
AT5G38410.3,"Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410). Functions to yield sufficient Rubisco content for leaf photosynthetic capacity.",Rubisco small subunit 3b (RBCS-3B),plastid stroma,
AT5G38420.1,"Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410).",Rubisco small subunit 2b (RBCS-2b),plastid stroma,
AT5G38430.1,"Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410).",Rubisco small subunit 1b (RBCS-1b),plastid stroma,
AT5G38520.1,alpha/beta-Hydrolases superfamily protein ,CHLOROPHYLL DEPHYTYLASE1 (CLD1),thylakoid,
AT5G38520.2,alpha/beta-Hydrolases superfamily protein; FUNCTIONS IN: hydrolase activity; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Alpha/beta hydrolase fold-1 (InterPro:IPR000073); BEST Arabidopsis thaliana protein match is: alpha/beta-Hydrolases superfamily protein (TAIR:AT5G19850.1); Has 8675 Blast hits to 8672 proteins in 1315 species: Archae - 112; Bacteria - 5902; Metazoa - 505; Fungi - 108; Plants - 578; Viruses - 6; Other Eukaryotes - 1464 (source: NCBI BLink).,CHLOROPHYLL DEPHYTYLASE1 (CLD1),thylakoid,
AT5G38530.1,tryptophan synthase beta type 2 ,tryptophan synthase beta type 2 ,plastid stroma,
AT5G38660.1,acclimation of photosynthesis to  environment ,APE1-  (ACCLIMATION OF PHOTOSYNTHESIS TO ENVIRONMENT),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT5G38660.2,mutant has Altered acclimation responses;,APE1-  (ACCLIMATION OF PHOTOSYNTHESIS TO ENVIRONMENT),thylakoid,
AT5G39210.1,chlororespiratory reduction 7 ,CRR7- novel subunit NDH complex,plastid stroma,chloroplast & membrane
AT5G39830.1,Trypsin family protein with PDZ domain ,DEG8  protease DEG5/DEG8 hexamer),thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT5G39830.2,Trypsin family protein with PDZ domain ,DEG8 protease (DEG5/DEG8 hexamer),thylakoid-peripheral-lumenal-side,thylakoid lumen (sensu Viridiplantae)
AT5G39940.1,FAD/NAD(P)-binding oxidoreductase family protein ,FAD dependent oxidoreductase (DAO domain),plastid,
AT5G39940.2,FAD/NAD(P)-binding oxidoreductase family protein ,FAD dependent oxidoreductase (DAO domain),plastid,
AT5G39980.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,Pentatricopeptide repeat (PPR) protein ,plastid nucleoid,
AT5G40950.1,ribosomal protein large subunit 27 ,50S ribosomal protein L27,plastid ribosome,
AT5G41120.1,Esterase/lipase/thioesterase family protein ,Esterase/lipase/thioesterase  (Esterase 1) (ELT4),plastoglobules,
AT5G42070.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits t",unknown protein,plastid,thylakoid membrane (sensu Viridiplantae)
AT5G42080.1,dynamin-like protein ,ADL1 ( DYNAMIN-LIKE PROTEIN)/Dynamin related protein 1A (DRP1A) - multiple localizations,thylakoid; plasma membrane; cytosol,thylakoid membrane (sensu Viridiplantae) & microtubule & cell plate
AT5G42080.2,dynamin-like protein ,ADL1 ( DYNAMIN-LIKE PROTEIN)/Dynamin related protein 1A (DRP1A) - multiple localizations,thylakoid; plasma membrane; cytosol,thylakoid membrane (sensu Viridiplantae) & microtubule & cell plate
AT5G42080.3,"Encodes a dynamin-like protein related to phragmoplastin. Mutations in this gene, in combination with mutation in ADL1E, result in defects in embryogenesis, cell plate formation and trichome branching.  Also controls vascular patterning in combination with VAN3 and GNOM. DRP2B and DRP1A participate together in clathrin-coated vesicle formation during endocytosis.",ADL1 ( DYNAMIN-LIKE PROTEIN)/Dynamin related protein 1A (DRP1A) - multiple localizations,thylakoid; thylakoid; plasma membrane; cytosol,
AT5G42130.1,Mitochondrial substrate carrier family protein ,MitoFerrinLike1 (MFL1) iron metabolism,envelope-inner-integral,
AT5G42270.1,FtsH extracellular protease family ,FtsH5 (VAR1)  (A-type) (FtsH1-2-5-8 complex),thylakoid-integral,thylakoid membrane (sensu Viridiplantae) & chloroplast
