"","Locus","Description","otherName"
"647","AT1G51080","golgin family A protein;(source:Araport11)",""
"425","AT5G56600","Encodes profilin3, a low-molecular weight, actin monomer-binding protein that regulates the organization of actin cytoskeleton. Originally known as profilin5, and later named profilin3. Expressed in vegetative organs. Mutants have slightly elongated petioles.","PFN3; PRF3; PROFILIN 3"
"820","AT5G48760","Ribosomal protein L13 family protein;(source:Araport11)",""
"68","AT5G62300","Ribosomal protein S10p/S20e family protein;(source:Araport11)",""
"117","AT5G67500","Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol.The mRNA is cell-to-cell mobile.",""
"656","AT5G60360","Encodes a senescence-associated thiol protease. The mRNA is cell-to-cell mobile.","AALP; ALEURAIN-LIKE PROTEASE; ALP; SAG2; SENESCENCE ASSOCIATED GENE2"
"908","AT5G57350","member of Plasma membrane H+-ATPase family","AHA3; ARABIDOPSIS THALIANA ARABIDOPSIS H(+)-ATPASE; ATAHA3; H(+)-ATPASE 3; HA3"
"136","ATCG00660","encodes a chloroplast ribosomal protein L20, a constituent of the large subunit of the ribosomal complex","RIBOSOMAL PROTEIN L20; RPL20"
"772","AT1G25375","Metallo-hydrolase/oxidoreductase superfamily protein;(source:Araport11)",""
"161","ATMG00510","NADH dehydrogenase subunit 7","NAD7; NADH DEHYDROGENASE SUBUNIT 7"
"139","AT5G63510","Encodes a mitochondrial gamma carbonic anhydrase-like protein. Component of the NADH dehydrogenase complex.","GAMMA CAL1; GAMMA CARBONIC ANHYDRASE LIKE 1"
"749","AT5G23890","GPI-anchored adhesin-like protein;(source:Araport11)",""
"379","AT3G22150","Involved in RNA editing of plastid atpF and mitochondrial nad5.",""
"665","AT1G51980","Insulinase (Peptidase family M16) protein;(source:Araport11)",""
"94","AT5G25230","Ribosomal protein S5/Elongation factor G/III/V family protein;(source:Araport11)",""
"128","AT5G66950","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;(source:Araport11)",""
"885","AT5G39510","Encodes a member of SNARE gene family.  Homologous with yeast VTI1 and is involved in vesicle transport. Mutant alleles such as sgr4/zig are defective in the shoots response to gravity resulting in a zigzag growth pattern of the stem. Involved in protein trafficking to lytic vacuoles. Can conditionally substitute VTI12 in protein storage vacuole trafficking when plants are devoid of VTI12. The mRNA is cell-to-cell mobile.","ATVTI11; ATVTI1A; IMPAIRED TONOPLAST TRAFFIC 3; ITT3; SGR4; SHOOT GRAVITROPSIM 4; VESICLE TRANSPORT V-SNARE 11; VESICLE TRANSPORT V-SNARE 1A; VTI11; VTI1A; ZIG; ZIG1"
"702","AT5G65720","Encodes a cysteine desulfurase whose activity is dependent on AtSufE activation. It requires pyridoxal phosphate (PLP) for proper folding.  Its catalytic efficiency is increase three-fold in the presence of AtFH (frataxin).",""
"713","AT5G22640","EMB1211 is a MORN (multiple membrane  occupation and recognition nexus) motif containing protein involved in embryo development and chloroplast biogenesis. The mRNA is cell-to-cell mobile.","EMB1211; EMBRYO DEFECTIVE 1211; TIC100; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 100"
"787","AT5G53490","thylakoid lumenal 17.4 kDa protein, chloroplast, identical to SP:P81760 Thylakoid lumenal 17.4 kDa protein, chloroplast precursor (P17.4) {Arabidopsis thaliana}. Putative pentapeptide protein.","THYLAKOID LUMENAL 17.4 KDA PROTEIN; TL17"
"531","AT5G20160","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein;(source:Araport11)",""
"416","AT3G16620","component of TOC complex, plastid protein import machinery.","ARABIDOPSIS THALIANA TRANSLOCON OUTER COMPLEX PROTEIN 120; ATTOC120; TOC120; TRANSLOCON OUTER COMPLEX PROTEIN 120"
"700","AT5G39740","Encodes a ribosomal protein RPL5B that is involved in ribosome biogenesis and plays a role in organ size control by promoting cell proliferation and preventing compensation in normal leaf development.","RIBOSOMAL PROTEIN L5 B; RPL5B"
"650","AT4G36040","Chaperone DnaJ-domain superfamily protein;(source:Araport11)","DJC23; DNA J PROTEIN C23; DNAJ11; J11"
"263","AT1G30270","Derives_from AT1G30270;(source:Araport11)",""
"528","AT4G24830","arginosuccinate synthase family;(source:Araport11)",""
"271","AT5G14220","Encodes PPO2, a putative protoporphyrinogen oxidase based on sequence homology.  Also known as MEE61 (maternal effect embryo arrest 61).  mee61 mutant shows arrested endosperm development.","HEMG2; MATERNAL EFFECT EMBRYO ARREST 61; MEE61; PPO2"
"464","AT5G22580","Stress responsive A/B Barrel Domain-containing protein;(source:Araport11)",""
"395","AT5G19510","Translation elongation factor EF1B/ribosomal protein S6 family protein;(source:Araport11)",""
"368","AT5G26000","member of Glycoside Hydrolase Family 1. encodes one of two known functional myrosinase enzymes in Arabidopsis. The enzyme catalyzes the hydrolysis of glucosinolates into compounds that are toxic to various microbes and herbivores.","ATTGG1; BETA GLUCOSIDASE 38; BGLU38; TGG1; THIOGLUCOSIDE GLUCOHYDROLASE 1"
"523","AT3G47930","L-Galactono-1,4-lactone dehydrogenase, catalyzes the final step of ascorbate biosynthesis","L-GALACTONO-1,4-LACTONE DEHYDROGENASE; ATGLDH; GLDH"
"782","AT5G38410","Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410). Functions to yield sufficient Rubisco content for leaf photosynthetic capacity.","RBCS3B; RUBISCO SMALL SUBUNIT 3B"
"672","AT5G20160","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein;(source:Araport11)",""
"219","ATCG00790","chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S large ribosomal subunit","RIBOSOMAL PROTEIN L16; RPL16"
"925","AT5G47880","Encodes a eukaryotic release factor 1 homolog.  Cosuppression of the gene's expression results affects cell elongation of the inflorescence stem, specifically the internodes, and radial cell division.  Expression of the protein is primarily observed in the vascular system and in actively growing and elongating zones.","ATERF1-1; ERF1-1; EUKARYOTIC RELEASE FACTOR 1-1"
"964","AT1G51980","Insulinase (Peptidase family M16) protein;(source:Araport11)",""
"285","AT5G45750","RAB GTPase homolog A1C;(source:Araport11)","ATRABA1C; RAB GTPASE HOMOLOG A1C; RABA1C"
"202","AT4G00630","Encodes a K(+)/H(+) antiporter that modulates monovalent cation and pH homeostasis in plant chloroplasts or plastids.","ATKEA2; K+ EFFLUX ANTIPORTER 2; KEA2"
"506","AT5G20020","A member of RAN GTPase gene family. Encodes a small soluble GTP-binding protein. Likely to be involved in nuclear translocation of proteins.  May also be involved in cell cycle progression.","RAN2; RAS-RELATED GTP-BINDING NUCLEAR PROTEIN 2"
"365","AT5G22650","Encodes a member of a plant-specific class of histone deacetylases. Controls the development of adaxial/abaxial leaf polarity. Its mRNA is widely expressed in stems, leaves, flowers and young siliques. Plant lines expressing RNAi constructs directed against this gene showed a marked reduction in agrobacterium-mediated root transformation.","ARABIDOPSIS HISTONE DEACETYLASE 2; ATHD2; ATHD2B; HD2; HD2B; HDA4; HDT02; HDT2; HISTONE DEACETYLASE 2; HISTONE DEACETYLASE 2B"
"623","AT5G17310","UDP-glucose pyrophosphorylase 2;(source:Araport11)","ATUGP2; UDP-GLUCOSE PYROPHOSPHORYLASE 2; UGP2"
"895","AT5G51545","Encodes LPA2 (low psii accumulation2), an intrinsic thylakoid membrane protein required for efficient assembly of Photosystem II.","LOW PSII ACCUMULATION2; LPA2"
"863","AT5G16660","Low-density receptor-like protein;(source:Araport11)",""
"644","AT5G15910","NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)",""
"413","AT5G61510","GroES-like zinc-binding alcohol dehydrogenase family protein;(source:Araport11)",""
"915","AT5G52200","Encodes an inhibitor of protein phosphatase one (PP1).",""
"409","AT5G42080","Encodes a dynamin-like protein related to phragmoplastin. Mutations in this gene, in combination with mutation in ADL1E, result in defects in embryogenesis, cell plate formation and trichome branching.  Also controls vascular patterning in combination with VAN3 and GNOM. DRP2B and DRP1A participate together in clathrin-coated vesicle formation during endocytosis.","DL1; DYNAMIN-LIKE PROTEIN"
"23","AT5G25260","Belongs to the group of plant flotillins, which are plasma membrane proteins. Flot2 complexes may be involved in plant?pathogen interactions, water transport and intracellular trafficking.","FLOT2; FLOTILIN2"
"111","AT5G46800","Seedling lethal mutation; Mitochondrial Carnitine Acyl Carrier-Like Protein",""
"80","AT1G14810","encodes an aspartate semialdehyde dehydrogenase, which produces the branch point intermediate for lysine and threonine/methionine biosynthesis",""
"211","AT5G12110","elongation factor 1-beta 1;(source:Araport11)",""
"220","AT5G15200","Ribosomal protein S4;(source:Araport11)",""
"315","AT5G66680","Encodes a protein ortholog of human SOT48 or yeast WBP1, an essential protein subunit of the oligosaccharyltransferase (OST) complex, which is responsible for the transfer in the ER of the N-linked glycan precursor onto Asn residues of candidate proteins.","DEFECTIVE GLYCOSYLATION; DGL1"
"512","AT1G03860","prohibitin 2","ATPHB2; PHB2; PROHIBITIN 2"
"363","AT3G02040","Encodes a member of the glycerophosphodiester phosphodiesterase (GDPD) family. Has glycerophosphodiester phosphodiesterase activity. Functions in maintaining cellular phosphate homeostasis under phosphate starvation. The mRNA is cell-to-cell mobile.","ATGDPD1; GDPD1; GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE 1; SENESCENCE-RELATED GENE 3; SRG3"
"526","ATCG00820","Encodes a 6.8-kDa protein of the small ribosomal subunit.","RIBOSOMAL PROTEIN S19; RPS19"
"253","AT2G47900","Member of plant TLP family which differs in having an F box domain. Plasma membrane tethering is mediated by PIP2 binding domain. Under abiotic stress TLP3 detaches from the PM and translocates to the nucleus. Mutants are insensitive to ABA.","ATTLP3; TLP3; TUBBY LIKE PROTEIN 3"
"912","AT5G54500","Encodes a flavin mononucleotide-binding flavodoxin-like quinone reductase that is a primary auxin-response gene.","FLAVODOXIN-LIKE QUINONE REDUCTASE 1; FQR1"
"773","AT5G26940","Encodes a Mg2+-dependent DNA exonuclease that degrades organelle DNA during Arabidopsis pollen development.","DEFECTIVE IN POLLEN ORGANELLE DNA DEGRADATION1; DPD1"
"682","AT5G15070","Encodes a functional VIP1/PPIP5K-type ATP-grasp kinase that is involved in both InsP6 to InsP7 conversion and InsP7 to InsP8 conversion. It is the minor isoform in plants and is expressed in pollen.",""
"245","AT5G20380","Encodes an inorganic phosphate transporter (PHT4;5).","PHOSPHATE TRANSPORTER 4;5; PHT4;5"
"684","AT1G47580","Pentatricopeptide repeat (PPR) superfamily protein;(source:Araport11)","DYW DOMAIN PROTEIN 1; DYW1"
"485","AT5G14780","Encodes a NAD-dependent formate dehydrogenase.",""
"831","AT5G05000","Outer membrane GTPase protein that may function in import of nuclear encoded proteins into the chloroplast. Phosphorylation of the G-domains regulate translocon assembly.","ARABIDOPSIS THALIANA TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 34; ATTOC34; OEP34; TOC34; TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 34"
"328","AT3G07780","Encodes a nuclear PHD finger protein that is functionally redundant with OBE2 and plays an important role in the maintenance and/or establishment of the root and shoot apical meristems.The mRNA is cell-to-cell mobile.",""
"184","AT5G65270","RAB GTPase homolog A4A;(source:Araport11)","ATRABA4A; RAB GTPASE HOMOLOG A4A; RABA4A"
"932","AT5G23740","Encodes a putative ribosomal protein S11 (RPS11-beta).","RIBOSOMAL PROTEIN S11-BETA; RPS11-BETA"
"20","AT5G49780","Leucine-rich repeat protein kinase family protein;(source:Araport11)",""
"178","AT5G20950","Encodes a beta-glucosidase involved in xyloglucan metabolism.","BGLC1"
"187","AT5G14670","A member of ARF GTPase family. Arabidopsis has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to ADP-ribosylation factor DcARF1 (GI:965483) (Daucus carota), other ARFs and ARF-like proteins. The gene is shown to play a role in cell division, cell expansion and cellulose production using antisense construct.","ADP-RIBOSYLATION FACTOR A1B; ARFA1B; ATARFA1B"
"666","AT3G23940","Encodes a member of the dihydroxyacid dehydrates family of proteins that encode enzymes involved in branched chain amino acid biosynthesis. Loss of function mutations have significantly reduced transmission and fertility due to defects in male and female gametophyte development and embryo lethality. Mutants have increased sensitivity to abiotic stressors which may be partially compensated by addition of amino acids to the growth medium.","DHAD; DIHYDROXYACID DEHYDRATASE"
"801","AT5G54080","Encodes a homogentisate 1,2-dioxygenase that can convert homogentisate to malylacetoacetate and is likely to be involved in tyrosine catabolism.","ATHGO; HGO; HOMOGENTISATE 1,2-DIOXYGENASE"
"551","AT3G02900","Low-density receptor-like protein;(source:Araport11)",""
"316","AT5G47700","Co-orthologous gene of large ribosomal subunit protein RPP1.","60S ACIDIC RIBOSOMAL PROTEIN P1-3; RPP1 CO-ORTHOLOGOUS GENE 3; RPP1.3; RPP1C"
"421","AT5G13440","Ubiquinol-cytochrome C reductase iron-sulfur subunit;(source:Araport11)",""
"653","AT5G62350","Plant invertase/pectin methylesterase inhibitor superfamily protein;(source:Araport11)",""
"190","AT3G60590","cytochrome P450 family protein;(source:Araport11)",""
"961","AT5G58330","lactate/malate dehydrogenase family protein;(source:Araport11)","NADP-DEPENDENT MALATE DEHYDROGENASE; NADP-MDH"
"922","AT5G49890","member of Anion channel protein family","ATCLC-C; CHLORIDE CHANNEL C; CLC-C"
"942","AT5G45680","Peptidyl-Prolyl Isomerase located in chloroplast thylakoid lumen The mRNA is cell-to-cell mobile.","ATFKBP13; FK506 BINDING PROTEIN 13; FK506-BINDING PROTEIN 13; FKBP13"
"909","AT5G41970","Metal-dependent protein hydrolase;(source:Araport11)",""
"891","AT5G60980","Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein;(source:Araport11)","NTF2"
"75","AT3G46980","Encodes an inorganic phosphate transporter (PHT4;3).",""
"577","AT2G19080","metaxin-like protein;(source:Araport11)",""
"314","AT5G59970","Histone superfamily protein;(source:Araport11)",""
"826","AT5G56940","Ribosomal protein S16 family protein;(source:Araport11)",""
"703","AT3G60620","cytidinediphosphate diacylglycerol synthase 5;(source:Araport11)",""
"719","AT5G43330","predicted to encode a cytosolic malate dehydrogenase. The mRNA is cell-to-cell mobile.","C-NAD-MDH2; CYTOSOLIC-NAD-DEPENDENT MALATE DEHYDROGENASE 2"
"437","AT1G24360","NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)",""
"61","AT5G09270","transmembrane protein;(source:Araport11)",""
"934","AT5G54940","Translation initiation factor SUI1 family protein;(source:Araport11)",""
"916","AT5G65940","hydrolyzes beta-hydroxyisobutyryl-CoA",""
"921","AT5G44290","Protein kinase superfamily protein;(source:Araport11)",""
"953","AT5G15610","Proteasome component (PCI) domain protein;(source:Araport11)",""
"270","AT5G17770","Encodes NADH:cytochrome (Cyt) b5 reductase that displayed strict specificity to NADH for the reduction of a recombinant Cyt b5 (AtB5-A), whereas no Cyt b5 reduction was observed when NADPH was used as the electron donor.","ATCBR; CBR; CBR1; NADH:CYTOCHROME B5 REDUCTASE 1"
"499","AT5G20870","O-Glycosyl hydrolases family 17 protein;(source:Araport11)",""
"905","AT5G35100","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)",""
"575","AT5G64460","Phosphoglycerate mutase family protein;(source:Araport11)",""
"336","AT5G17520","Encodes a maltose transporter that is expressed in leaves and roots. Mutations at the MEX1 locus cause accumulation of both starch and maltose in  leaves, with maltose levels at least 40 times higher than that of wild-type. This gene encodes a protein located in the chloroplast envelope.","MALTOSE EXCESS 1; MEX1; RCP1; ROOT CAP 1"
"511","AT5G50460","secE/sec61-gamma protein transport protein;(source:Araport11)",""
"372","AT5G54080","Encodes a homogentisate 1,2-dioxygenase that can convert homogentisate to malylacetoacetate and is likely to be involved in tyrosine catabolism.","ATHGO; HGO; HOMOGENTISATE 1,2-DIOXYGENASE"
"628","AT5G25265","Hyp O-arabinosyltransferase-like protein;(source:Araport11)","HPAT1; HYDROXYPROLINE O-ARABINOSYLATRANSFERASE 1"
"96","AT5G20230","Encodes a Al-stress-induced gene. Along with TCF, it promotes lignin biosynthesis in response to cold stress. The mRNA is cell-to-cell mobile.","ATBCB; BCB; BLUE COPPER BINDING PROTEIN; BLUE-COPPER-BINDING PROTEIN; SAG14; SENESCENCE ASSOCIATED GENE 14"
"239","AT3G08640","alphavirus core family protein (DUF3411);(source:Araport11)","RER3; RETICULATA-RELATED 3"
"352","AT5G17170","rubredoxin family protein;(source:Araport11)","ENH1; ENHANCER OF SOS3-1"
"18","AT3G22400","Encodes lipoxygenase5 (LOX5). LOX5 activity in roots facilitates green peach aphid colonization of Arabidopsis foliage by promoting green peach aphid feeding from sieve element and water consumption from xylem.","ARABIDOPSIS THALIANA LIPOXYGENASE 5; ATLOX5; LOX5"
"823","AT5G21060","Glyceraldehyde-3-phosphate dehydrogenase-like family protein;(source:Araport11)",""
"293","AT5G35100","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)",""
"655","AT4G35000","Encodes a microsomal ascorbate peroxidase APX3.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms.  The APX3 protein interacts with AKR2 (ankyrin-containing protein that interacts with AFT1) and AFT1, a 14-3-3 protein.","APX3; ASCORBATE PEROXIDASE 3"
"955","AT5G56870","beta-galactosidase 4;(source:Araport11)","BETA-GALACTOSIDASE 4; BGAL4"
"936","AT5G53850","Encodes a trifunctional dehydratase / enolase / phosphatase involved in the methionine salvage.","DEHYDRATASE-ENOLASE-PHOSPHATASE-COMPLEX 1; DEP1"
"366","AT5G26570","chloroplastidic phosphoglucan, water dikinase (PWD) which is required for normal degradation of leaf starch in Arabidopsis. NMR analysis of the mutants, suggests that the gene is specifically involved in the phosphorylation of the glucosyl residues of starch at the C3 position.","ATGWD3; OK1; PHOSPHOGLUCAN WATER DIKINASE; PWD"
"430","AT5G09270","transmembrane protein;(source:Araport11)",""
"539","AT5G15700","Nucleus  encoded plastid RNA polymerase. Localized in mitochondria and chloroplast.",""
"72","AT5G59290","Encodes an isoform of UDP-glucuronic acid decarboxylase, which is predicted to be cytosolic by PSORT. This enzyme produces UDP-xylose, which is a substrate for many cell wall carbohydrates including hemicellulose and pectin. UDP-xylose is also known to feedback regulate  several cell wall biosynthetic enzymes.",""
"63","AT5G64816","Thionin-like gene.",""
"791","AT2G38040","encodes the carboxyltransferase alpha subunit of acetyl-CoA carboxylase, involved in de novo fatty acid biosynthesis","ACETYL CO-ENZYME A CARBOXYLASE CARBOXYLTRANSFERASE ALPHA SUBUNIT; CAC3"
"900","AT4G39030","Encodes an orphan multidrug and toxin extrusion transporter. Essential component of salicylic acid-dependent signaling for disease resistance. Member of the MATE-transporter family. Expression induced by salicylic acid. Mutants are salicylic acid-deficient.","EDS5; ENHANCED DISEASE SUSCEPTIBILITY 5; SALICYLIC ACID INDUCTION DEFICIENT 1; SCORD3; SID1; SUSCEPTIBLE TO CORONATINE-DEFICIENT PST DC3000 3"
"478","AT5G60600","Encodes a chloroplast-localized  hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) synthase (HDS), catalyzes the formation of HMBPP from 2-C-methyl-D-erythrytol 2,4-cyclodiphosphate (MEcPP).  The HDS enzyme controls the penultimate steps of the biosynthesis of IPP and dimethylallyl diphosphate (DMAPP) via the MEP pathway and may serve as a metabolic control point for SA-mediated disease resistance. In the light, the electrons required for the reaction catalyzed by HDS are directly provided by the electron flow from photosynthesis via ferredoxin. In the dark however, the enzyme requires an electron shuttle: ferredoxin-NADP<sup>+</sup> reductase. The mRNA is cell-to-cell mobile.","4-HYDROXY-3-METHYLBUT-2-ENYL DIPHOSPHATE SYNTHASE; CHLOROPLAST BIOGENESIS 4; CLB4; CONSTITUTIVE SUBTILISIN 3; CSB3; GCPE; HDS; ISPG"
"860","AT5G64460","Phosphoglycerate mutase family protein;(source:Araport11)",""
"734","AT5G63620","Encodes an oxidoreductase involved in transducing the perception of E-2-hexenal, which changes the redox status of the mitochondria.","HER2; HEXENAL RESPONSE 2"
"771","AT5G25450","Cytochrome bd ubiquinol oxidase, 14kDa subunit;(source:Araport11)",""
"269","AT5G40930","Form of TOM20, which is a component of the TOM complex  involved in transport of nuclear-encoded mitochondrial proteins",""
"923","AT5G61130","Encodes a plasmodesmatal localized protein with callose binding activity. The function of PDCB1 is unknown but overexpression leads to the hyperaccumulation of callose.","ATPDCB1; PDCB1; PLASMODESMATA CALLOSE-BINDING PROTEIN 1"
"930","AT5G35460","membrane protein;(source:Araport11)",""
"480","AT5G20140","Encodes a haem-binding protein, HBP5. HBP5 binds haem and interacts with the haem oxygenase, HY1. Disrupting the binding of HBP5 to HY1 leads to oxidative stress.","ATHBP5; HAEM-BINDING PROTEIN 5; HBP5"
"48","AT5G25460","transmembrane protein, putative (Protein of unknown function, DUF642);(source:Araport11)","DGR2; DUF642  L-GALL RESPONSIVE GENE 2"
"114","AT5G37475","Translation initiation factor eIF3 subunit;(source:Araport11)",""
"90","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase;(source:Araport11)",""
"242","AT5G37830","Encodes a 5-oxoprolinase that acts in the glutathione degradation pathway and in 5-oxoproline metabolism.","OXOPROLINASE 1; OXP1"
"615","AT1G25410","AB061404 Arabidopsis thaliana AtIPT6 mRNA for cytokinin synthase, complete cds","ARABIDOPSIS THALIANA ISOPENTENYLTRANSFERASE 6; ATIPT6; IPT6; ISOPENTENYLTRANSFERASE 6"
"470","AT5G21990","Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808). Functions as a chaperone receptor at the chloroplast outer envelope, mediating Hsp70-dependent protein targeting to chloroplasts.   It has been localized to the ER membrane, interacts with the Sec translocon, and has a potential function in post-translational protein transport into the ER. The mRNA is cell-to-cell mobile.","ATTPR7; OEP61; OUTER ENVELOPE PROTEIN 61; TETRATRICOPEPTIDE REPEAT 7; TPR7"
"15","AT5G35100","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)",""
"561","AT1G21650","Encodes a component of the thylakoid-localized Sec system involved in the translocation of cytoplasmic proteins into plastid.  Loss-of-function mutations result in arrest at the globular stage and embryo lethality.","SECA2"
"747","AT5G65020","Annexins are calcium binding proteins that are localized in the cytoplasm. When cytosolic Ca2+ increases, they relocate to the plasma membrane.  They may be involved in the Golgi-mediated secretion of polysaccharides.","ANNAT2; ANNEXIN 2; ATANN2"
"681","AT5G15070","Encodes a functional VIP1/PPIP5K-type ATP-grasp kinase that is involved in both InsP6 to InsP7 conversion and InsP7 to InsP8 conversion. It is the minor isoform in plants and is expressed in pollen.",""
"582","AT5G37680","A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARL GTPases.",""
"790","AT5G63680","Pyruvate kinase family protein;(source:Araport11)",""
"761","AT5G14920","Encodes a GASA domain containing protein that  regulates increases in plant growth through GA-induced and DELLA-dependent signal transduction and that can increase abiotic stress resistance by reducing ROS accumulation.","A-STIMULATED IN ARABIDOPSIS 14; GASA14"
"687","AT5G42390","Encodes a chloroplast-localized metalloprotease that is essential for embryo development.  Mutants do not progress normally beyond the 16-cell stage. The mRNA is cell-to-cell mobile.","SPP; STROMAL PROCESSING PEPTIDASE"
"877","AT5G20920","protein synthesis initiation factor eIF2 beta","EIF-2BS; EIF2 BETA; EMB1401; EMBRYO DEFECTIVE 1401; EUKARYOTIC TRANSLATION INITIATION FACTOR 2 BETA SUBUNIT"
"626","AT5G47710","Calcium-dependent lipid-binding (CaLB domain) family protein;(source:Araport11)",""
"498","AT5G15910","NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)",""
"584","AT5G47710","Calcium-dependent lipid-binding (CaLB domain) family protein;(source:Araport11)",""
"806","AT5G15730","Protein kinase superfamily protein;(source:Araport11)","ATCRLK2; CALCIUM/CALMODULIN-REGULATED RECEPTOR-LIKE KINASE 2; CRLK2"
"204","AT5G61970","signal recognition particle-related / SRP-like protein;(source:Araport11)",""
"786","AT5G52200","Encodes an inhibitor of protein phosphatase one (PP1).","ATI-2; I-2; INHIBITOR-2"
"447","AT5G27770","Ribosomal L22e protein family;(source:Araport11)",""
"641","AT5G64970","Mitochondrial substrate carrier family protein;(source:Araport11)",""
"573","ATCG00800","encodes a chloroplast ribosomal protein S3, a constituent of the small subunit of the ribosomal complex",""
"564","AT3G46980","Encodes an inorganic phosphate transporter (PHT4;3).","PHOSPHATE TRANSPORTER 4;3; PHT4;3"
"56","AT5G37475","Translation initiation factor eIF3 subunit;(source:Araport11)",""
"907","AT5G19760","Encodes a novel mitochondrial carrier capable of transporting both dicarboxylates (such as malate, oxaloacetate, oxoglutarate, and maleate) and tricarboxylates (such as citrate, isocitrate, cis-aconitate, and trans-aconitate).",""
"933","AT5G62575","Encodes subunit 7 of mitochondrial complex II (succinate dehydrogenase complex) and participates in the respiratory chain. It contributes to anchoring succinate dehydrogenase to the inner mitochondrial membrane. The mRNA is cell-to-cell mobile.","SDH7; SDH7B; SUCCINATE DEHYDROGENASE 7; SUCCINATE DEHYDROGENASE 7B"
"77","AT5G64816","Thionin-like gene.",""
"723","AT4G31780","Encodes an A-type monogalactosyldiacylglycerol (MGDG) synthase. It represents the isoform responsible for the bulk of MGDG synthesis in Arabidopsis.","EMB2797; EMBRYO DEFECTIVE 2797; MGD1; MGDA; MONOGALACTOSYL DIACYLGLYCEROL SYNTHASE 1; MONOGALACTOSYLDIACYLGLYCEROL SYNTHASE A; UDP-GLYCOSYL TRANSFERASE 81A1; UGT81A1"
"210","AT5G66860","Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain-containing protein;(source:Araport11)",""
"510","AT5G17870","plastid-specific ribosomal protein 6 precursor (Psrp-6) - like","PLASTID-SPECIFIC 50S RIBOSOMAL PROTEIN 6; PSRP6"
"530","AT5G36700","2-phosphoglycolate phosphatase 1;(source:Araport11)","2-PHOSPHOGLYCOLATE PHOSPHATASE 1; ATPGLP1; PGLP1"
"518","AT5G53460","NADH-dependent glutamate synthase The mRNA is cell-to-cell mobile.","GLT1; NADH-DEPENDENT GLUTAMATE SYNTHASE 1"
"415","AT5G63680","Pyruvate kinase family protein;(source:Araport11)",""
"343","AT5G23900","Ribosomal protein L13e family protein;(source:Araport11)",""
"935","AT5G30510","ribosomal protein S1;(source:Araport11)","ARRPS1; PLASTID RIBOSOMAL PROTEIN S1; PRPS1; RIBOSOMAL PROTEIN S1; RPS1"
"182","AT5G59950","RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)","ALY1"
"597","AT5G64040","Encodes the only subunit of photosystem I located entirely in the thylakoid lumen. May be involved in the interaction between plastocyanin and the photosystem I complex. Phosphorylation of this protein is dependent on calcium.","PSAN"
"830","AT5G37780","encodes a calmodulin that is involved in thigmomorphogenesis. Gene expression is rapidly induced upon a variety of abiotic stimuli, including water spray, subirrigation, wind, touch, wounding, or darkness.","ACAM-1; CALMODULIN 1; CAM1; TCH1; TOUCH 1"
"592","AT5G49830","Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.","EXO84B; EXOCYST COMPLEX COMPONENT 84B"
