TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:3442568	AT5G17380	AT5G17380.1	protein_coding	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein;(source:Araport11)		 chloroplast, cytosol, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carbon-carbon lyase activity, carboxy-lyase activity, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cytosol, fatty acid alpha-oxidation, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, magnesium ion binding, mature plant embryo stage, peroxisome, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, thiamine pyrophosphate binding, vascular leaf, vascular leaf senescent stage	true
Gene:1005716015	AT5G26000	AT5G26000.2	protein_coding	member of Glycoside Hydrolase Family 1. encodes one of two known functional myrosinase enzymes in Arabidopsis. The enzyme catalyzes the hydrolysis of glucosinolates into compounds that are toxic to various microbes and herbivores.	ATTGG1; BETA GLUCOSIDASE 38; BGLU38; TGG1; THIOGLUCOSIDE GLUCOHYDROLASE 1	 chloroplast, extracellular region, peroxisome, thylakoid, vacuole, apoplast, fruit, vascular leaf, stem, seedling development stage, cytosolic ribosome, abscisic acid-activated signaling pathway, apoplast, beta-glucosidase activity, carbohydrate metabolic process, chloroplast, cytosolic ribosome, defense response to insect, extracellular region, fruit, glucosinolate catabolic process, glucosinolate glucohydrolase activity, guard cell, gynoecium, juvenile vascular leaf, metal ion binding, peroxisome, petal, phloem, plastid, regulation of stomatal movement, response to abscisic acid, response to insect, response to salt stress, rosette leaf, scopolin beta-glucosidase activity, secretory vesicle, seedling development stage, sepal, stem, thioglucosidase activity, thylakoid, vacuole, vascular leaf	true
Gene:1006227927	AT5G64816	AT5G64816.2	protein_coding	Thionin-like gene.		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, biological process unknown, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1006229199	AT5G61670	AT5G61670.2	protein_coding	Encodes a close homolog of the Cauliflower OR (Orange) protein that is located in the chloroplast of light grown organs but in the nucleus of etiolated cotyledons.  The function of OR is to induce the differentiation of proplastids or other noncolored plastids into chromoplasts for carotenoid accumulation.  Both proteins contain a Cysteine-rich zinc finger domain that is highly specific to DnaJ-like molecular chaperons.  The AtOR protein interacts directly with the PSY (phytoene synthase) protein and acts as a positive posttranscriptional regulator of its expression, thereby affecting carotenoid biosynthesis.	ARABIDOPSIS THALIANA ORANGE; ATOR	 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carotene biosynthetic process, carpel, cauline leaf, chloroplast, chloroplast membrane, chromoplast organization, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, positive regulation of carotenoid biosynthetic process, protein binding, protein stabilization, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1006229513	AT5G14740	AT5G14740.2	protein_coding	Encodes a beta carbonic anhydrase likely to be localized in the cytoplasm.  Expression of its mRNA is seen in etiolated seedlings and points to a possible nonphotosynthetic role for this isoform.	BETA CA2; BETA CARBONIC ANHYDRASE 2; CA18; CA2; CARBONIC ANHYDRASE 18; CARBONIC ANHYDRASE 2	 chloroplast, chloroplast stroma, cytoplasm, chloroplast thylakoid membrane, chloroplast envelope, apoplast, defense response to bacterium, cotyledon, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carbon utilization, carbonate dehydratase activity, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, cytosol, defense response to bacterium, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, regulation of stomatal movement, response to carbon dioxide, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:1009021186	AT1G48850	AT1G48850.2	protein_coding	chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase;(source:Araport11)	EMB1144; EMBRYO DEFECTIVE 1144	 chloroplast, nucleolus, fruit, FMN binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, aromatic amino acid family biosynthetic process, carpel, cauline leaf, chloroplast, chloroplast stroma, chorismate biosynthetic process, chorismate synthase activity, collective leaf structure, cotyledon, cytosol, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, pollen tube cell, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1009022399	AT5G38480	AT5G38480.2	protein_coding	general regulatory factor, a 14-3-3 gene	GENERAL REGULATORY FACTOR 3; GRF3; RCI1	 Golgi apparatus, cell wall, chloroplast, cytoplasm, mitochondrion, plasma membrane, plasmodesma, vacuole, ATP binding, seed, vascular leaf, cultured plant cell, seedling development stage, ATP binding, Golgi apparatus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, cellular response to nitrogen starvation, cellular response to phosphate starvation, cellular response to potassium ion starvation, chloroplast, cold acclimation, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, ethylene-activated signaling pathway, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, plastid, pollen, pollen tube cell, protein binding, protein domain specific binding, protein phosphorylated amino acid binding, regulation of metabolic process, response to cold, response to freezing, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:1009022404	AT5G38410	AT5G38410.2	protein_coding	Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410). Functions to yield sufficient Rubisco content for leaf photosynthetic capacity.	RBCS3B; RUBISCO SMALL SUBUNIT 3B	 cell wall, chloroplast, thylakoid, apoplast, fruit, cotyledon, vascular leaf, seedling development stage, cytosolic ribosome, apoplast, cell wall, chloroplast, chloroplast envelope, chloroplast ribulose bisphosphate carboxylase complex assembly, chloroplast stroma, cotyledon, cytosolic ribosome, fruit, guard cell, hypocotyl, juvenile vascular leaf, leaf mesophyll, monooxygenase activity, oxidation-reduction process, petal, photorespiration, photosynthesis, plastid, reductive pentose-phosphate cycle, response to blue light, response to far red light, response to red light, ribulose-bisphosphate carboxylase activity, rosette leaf, seedling development stage, sepal, shoot axis cortex, shoot axis vascular system, thylakoid, trichome, vascular bundle, vascular leaf	true
Gene:1009022476	AT5G14740	AT5G14740.3	protein_coding	Encodes a beta carbonic anhydrase likely to be localized in the cytoplasm.  Expression of its mRNA is seen in etiolated seedlings and points to a possible nonphotosynthetic role for this isoform.	BETA CA2; BETA CARBONIC ANHYDRASE 2; CA18; CA2; CARBONIC ANHYDRASE 18; CARBONIC ANHYDRASE 2	 chloroplast, apoplast, defense response to bacterium, cotyledon, vascular leaf, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carbon utilization, carbonate dehydratase activity, carpel, cauline leaf, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, cytosol, defense response to bacterium, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, regulation of stomatal movement, response to carbon dioxide, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, zinc ion binding	true
Gene:1009022913	ATCG00750	ATCG00750.1	protein_coding	30S chloroplast ribosomal protein S11	RIBOSOMAL PROTEIN S11; RPS11	 chloroplast, chloroplast stroma, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA 5'-UTR binding, maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), mature plant embryo stage, mitochondrial small ribosomal subunit, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, plastid small ribosomal subunit, pollen, ribosomal small subunit assembly, root, rosette leaf, seed, sepal, shoot apex, shoot system, small ribosomal subunit rRNA binding, stamen, stem, structural constituent of ribosome, translation, vascular leaf, vascular leaf senescent stage	false
Gene:6532556768	AT5G59290	AT5G59290.4	protein_coding	Encodes an isoform of UDP-glucuronic acid decarboxylase, which is predicted to be cytosolic by PSORT. This enzyme produces UDP-xylose, which is a substrate for many cell wall carbohydrates including hemicellulose and pectin. UDP-xylose is also known to feedback regulate  several cell wall biosynthetic enzymes.		 plasma membrane, D-xylose metabolic process, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NAD+ binding, UDP-D-xylose biosynthetic process, UDP-glucuronate decarboxylase activity, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, pollen tube cell, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532554614	AT5G64460	AT5G64460.9	protein_coding	Phosphoglycerate mutase family protein;(source:Araport11)		 LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, biological process unknown, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532549845	AT5G21222	AT5G21222.3	protein_coding	protein kinase family protein;(source:Araport11)		 mitochondrion, ATP binding, guard cell, mitochondrion, plastid, protein kinase activity, protein phosphorylation, rosette leaf	true
Gene:6532559837	AT4G02510	AT4G02510.3	protein_coding	An integral membrane GTPase that functions as a transit-sequence receptor required for the import of proteins necessary for chloroplast biogenesis. Located in the outer chloroplast membrane. Phosphorylation of the G-domains regulate translocon assembly.The mRNA is cell-to-cell mobile.		 nucleus, G protein-coupled receptor activity, GTP binding, GTPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, TOC-TIC supercomplex I, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast outer membrane, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of membrane, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, nucleus, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, protein binding, protein import into chloroplast stroma, protein targeting to chloroplast, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, transmembrane signaling receptor activity, vascular leaf, vascular leaf senescent stage	true
Gene:6532546405	AT1G08530	AT1G08530.3	protein_coding	chitinase-like protein;(source:Araport11)		 chloroplast, biological process unknown, chloroplast, chloroplast envelope, guard cell, integral component of membrane, molecular function unknown, plastid	true
Gene:6532551696	AT5G63570	AT5G63570.2	protein_coding	Encodes a protein with homology to glutamate-1-semialdehyde 2,1-aminomutase catalyzing the conversion of glutamate-1-semialdehyde (GSA) into 5-amino levulinate. The expression of this gene was demonstrated to be light-induced.The mRNA is cell-to-cell mobile.		 cytoplasm, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, cell-to-cell mobile RNA, chlorophyll biosynthetic process, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, glutamate-1-semialdehyde 2,1-aminomutase activity, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, porphyrin-containing compound biosynthetic process, protein homodimerization activity, protoporphyrinogen IX biosynthetic process, pyridoxal phosphate binding, response to light stimulus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, transaminase activity, vascular leaf, vascular leaf senescent stage	true
Gene:6532552802	AT5G22640	AT5G22640.3	protein_coding	EMB1211 is a MORN (multiple membrane  occupation and recognition nexus) motif containing protein involved in embryo development and chloroplast biogenesis.The mRNA is cell-to-cell mobile.		 plasma membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast inner membrane, chloroplast organization, chloroplast thylakoid membrane, collective leaf structure, cotyledon, embryo development, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence, inflorescence meristem, intracellular, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule, plasma membrane, plastid, protein binding, protein import into chloroplast stroma, protein transmembrane transporter activity, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532556283	AT5G17310	AT5G17310.4	protein_coding	UDP-glucose pyrophosphorylase 2;(source:Araport11)		 cytoplasm, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, UDP-glucose metabolic process, UTP:glucose-1-phosphate uridylyltransferase activity, anther wall tapetum, callose deposition in cell wall, carpel, cauline leaf, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, glycogen metabolic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phloem, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, pollen development, pollen tube cell, positive regulation of cell death, response to cadmium ion, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2052995	AT2G16070	AT2G16070.1	protein_coding	An integral outer envelope membrane protein (its homolog in A thaliana PDV1), component of the plastid division machinery. Similar to ARC6, PDV2 localizes to a continuous ring at the division site in wild-type plants. PDV1 and PDV2 are required for localization of ARC5 at the chloroplast division site.	PDV2; PLASTID DIVISION2	 mitochondrion, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast fission, collective leaf structure, cotyledon, cultured plant cell, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, integral component of chloroplast outer membrane, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, plastid fission, pollen, protein binding, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2077684	AT3G58990	AT3G58990.1	protein_coding	isopropylmalate isomerase 1;(source:Araport11)	IPMI1; ISOPROPYLMALATE ISOMERASE 1	 chloroplast, 3-isopropylmalate dehydratase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, flower, flowering stage, glucosinolate biosynthetic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, leucine biosynthetic process, petal, petal differentiation and expansion stage, petiole, plastid, root, rosette leaf, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2158709	AT5G44370	AT5G44370.1	protein_coding	Encodes an inorganic phosphate transporter (PHT4;6).	PHOSPHATE TRANSPORTER 4;6; PHT4;6	 Golgi apparatus, Golgi membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, inorganic phosphate transmembrane transporter activity, integral component of membrane, integral component of plasma membrane, leaf apex, leaf lamina base, mature plant embryo stage, organic anion transmembrane transporter activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, pollen tube cell, response to nematode, root, seed, sepal, shoot apex, shoot system, stamen, stem, transmembrane transport, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:2147370	AT5G36700	AT5G36700.1	protein_coding	2-phosphoglycolate phosphatase 1;(source:Araport11)	2-PHOSPHOGLYCOLATE PHOSPHATASE 1; ATPGLP1; PGLP1	 chloroplast, chloroplast stroma, cytosol, NOT cytosol, cauline leaf, chloroplast, chloroplast stroma, flower, fruit, guard cell, phosphoglycolate phosphatase activity, plastid, rosette leaf, stamen, stem	true
Gene:2165804	AT5G42080	AT5G42080.1	protein_coding	Encodes a dynamin-like protein related to phragmoplastin. Mutations in this gene, in combination with mutation in ADL1E, result in defects in embryogenesis, cell plate formation and trichome branching.  Also controls vascular patterning in combination with VAN3 and GNOM. DRP2B and DRP1A participate together in clathrin-coated vesicle formation during endocytosis.	ADL1; ADL1A; AG68; DL1; DRP1A; DYNAMIN-LIKE PROTEIN; DYNAMIN-RELATED PROTEIN 1A; RADIAL SWELLING 9; RSW9	 cytoplasm, cytosol, plasma membrane, plasmodesma, vacuolar membrane, vacuole, vascular leaf, plant callus, cultured plant cell, GTP binding, GTPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell plate, cell plate formation involved in plant-type cell wall biogenesis, chloroplast thylakoid membrane, clathrin binding, clathrin-coated endocytic vesicle, clathrin-dependent endocytosis, collective leaf structure, cotyledon, cultured plant cell, cytokinesis by cell plate formation, cytoplasm, cytosol, embryo development ending in seed dormancy, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, microtubule, microtubule binding, mitochondrial fission, petal, petal differentiation and expansion stage, petiole, phragmoplast, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, plastid, pollen, protein binding, protein histidine kinase binding, regulation of establishment of cell polarity, root, root hair initiation, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, trichome branching, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage, xylem and phloem pattern formation	true
Gene:2168051	AT5G59880	AT5G59880.1	protein_coding	Encodes actin depolymerizing factor 3 (ADF3).	ACTIN DEPOLYMERIZING FACTOR 3; ADF3	 chloroplast, cytoplasm, cytosol, plasma membrane, plasmodesma, response to cadmium ion, vascular leaf, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, actin binding, actin cytoskeleton, actin filament depolymerization, carpel, cauline leaf, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, plastid, pollen, protein binding, response to cadmium ion, response to oxidative stress, root, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2170687	AT5G62810	AT5G62810.1	protein_coding	mutant has a defect in the intracellular transport of thiolase from the cytosol to glyoxysomes (formerly known as ped2) The mRNA is cell-to-cell mobile.	ATPED2; ATPEX14; PED2; PEROXIN 14; PEROXISOME DEFECTIVE 2; PEX14	 nucleus, peroxisome, plasma membrane, cultured plant cell, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, collective leaf structure, cotyledon, cultured plant cell, cytosol, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nucleus, obsolete protein transporter activity, peroxisomal importomer complex, peroxisomal membrane, peroxisome, peroxisome organization, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, protein binding, protein import into peroxisome matrix, docking, protein targeting to peroxisome, root, rosette leaf, seed, sepal, shoot apex, shoot system, signaling receptor binding, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2172496	AT5G44070	AT5G44070.1	protein_coding	Phytochelatin synthase gene confers tolerance to cadmium ions. Catalyzes phytochelatin (PC) synthesis from glutathione (GSH) in the presence of Cd2+, Zn2+, Cu2+ and Fe3+, but not by Co2+ or Ni2+. The mRNA is cell-to-cell mobile.	ARA8; ARABIDOPSIS THALIANA PHYTOCHELATIN SYNTHASE 1; ATPCS1; CAD1; CADMIUM SENSITIVE 1; PCS1; PHYTOCHELATIN SYNTHASE 1	 chloroplast, cytosol, cultured plant cell, ATPase-coupled arsenite transmembrane transporter activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, arsenite transport, cadmium ion binding, carpel, cauline leaf, cell-to-cell mobile RNA, cellular detoxification of cadmium ion, chloroplast, collective leaf structure, copper ion binding, cotyledon, cultured plant cell, cytosol, defense response by callose deposition in cell wall, defense response to bacterium, detoxification of copper ion, flower, flower pedicel, flowering stage, glutathione gamma-glutamylcysteinyltransferase activity, guard cell, hypocotyl, indole glucosinolate catabolic process, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, phytochelatin biosynthetic process, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plastid, pollen, response to arsenic-containing substance, response to cadmium ion, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2176624	AT5G55860	AT5G55860.1	protein_coding	WEB1/PMI2 related protein involved in mecahnotransduction.TREPH1 is phosphorylated at position S625 in response to touch, and this is required for mechanosensitive growth response.	TOUCH-REGULATED PHOSPHOPROTEIN1; TREPH1	 plasma membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to mechanical stimulus, chloroplast accumulation movement, chloroplast avoidance movement, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, molecular function unknown, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plastid, pollen, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
